,From,To,Time (min)
194,URB Ana Maria,Valentine,720
195,URB Borinquen,URB Sra Del Carmen,951
196,URB Monte Rio,Ford Motor Credit Corp,894
197,URB Sierra Linda,Danville,453
198,Jard De Penuelas,Lake Emerald,475
199,Alt De Penuelas Ii,White Cloud,696
200,Alts De Penuelas,Villa Alegre,232
201,Brisas De Guayanes,Wyndham Hills,872
202,URB Rio Sol,Rosedale,510
203,Vista Bahia,Meriden,230
204,URB Monte Verde,Fountain Grn,469
205,URB Llanos De Sabana Palma,Tridell,354
206,URB Penuelas Valley,Walker,106
207,Penuelas,East Millbury,434
208,Ext Alts De Penuelas Ii,Calamine,600
209,Repto Kennedy,Prt Angeles,303
210,Sect Mal Paso,Hollister,818
211,URB Guayanes,Grants,989
212,URB Riverside,Dewittville,428
213,Villa Esmeralda,Mount Washington,9
214,Colinas De Penuelas,Romona,875
215,URB El Madrigal,URB Garden Ct,117
216,URB Sagrado Corazon,Madawaska,790
217,Sect Pena,Catonsville,631
218,Vistas De Camuy,Great Notch,513
219,Alts El Maestro,Ash Grove,868
220,URB Linda Vista,Coventry,719
221,Camuy,Mckinnon,975
222,URB Del Carmen,Church Hill,591
223,URB Las Veredas,Wyola,905
224,Adjuntas,Brimhall,778
225,Castaner,Bettendorf,494
226,Rosario,San Jose,246
227,Ext San Jose 2,Oak Lawn,291
228,Parc Maginas,Cedar Point,697
229,URB Santa Elena,Corinth,309
230,Vistas De Sabana Grande,Phoenix,233
231,Alts De San Jose,Swiss Colony Bus Reply,855
232,URB La Milagrosa,Jc,367
233,Sabana Grande,Castle Village,851
234,URB El Arrendado,Alpha,375
235,URB San Miguel,New Britain,137
236,URB Santa Maria,Rineyville,877
237,Bda San Isidro,Foster,724
238,Est Del Rio,Harmony Corners,983
239,Parc Susua,URB Monte Soria 2,799
240,URB Santa Ana,Chinook,358
241,URB Los Llanos,Andrews,17
242,URB Monte Rey,Bellview,326
243,Qtas De Ciales,Isleta,136
244,Ciales,Lindy Lake,122
245,URB Dos Rios,Pleasant Vly,38
246,Jard De Bubao,Helemano Mltry Res,835
247,URB San Martin,St Francisvle,122
248,Alts De Utuado,Reed,659
249,Sect Vendrell,Dover,84
250,URB Cabrera,Hickman,377
251,Ext San Martin,Penn State University,934
252,Bda Nueva,Crete,207
253,URB Perez Matos,Southeastern,506
254,Utuado,Jena,976
255,Sect Cercadillo,Reynoldsville,166
256,URB Jesus M Lago,Colonial Beach,675
257,Sect Bella Vista,Christiansbg,964
258,Jard Dorado,Philadelphia,602
259,Parc San Antonio,Vancourt,994
260,Paseo Real,Mare Island,866
261,URB Dorado Country Ests,Weddington,648
262,URB Los Prados Norte,Saratoga,283
263,Valle Dorado,Hilltop,595
264,Bo Saldinera,Merrimac,822
265,URB Dorado Reef,Upper Sandsky,89
266,URB Palmar Dorado Norte,Belvedere Tiburon,425
267,URB The Clusters,Scammon Bay,173
268,Bo Arenal,Crestwood,67
269,Chalets De Dorado,Hollowville,784
270,Jard De Dorado,Forest Twp,469
271,Parc El Cotto,Connorsville,232
272,Paseo Las Olas,La Barque Crk,656
273,Qtas De Dorado,Snowville,937
274,URB Doraville,Public,359
275,URB Montereal,Grinders,516
276,Villa Plata,Arma,180
277,Villa Santa,Rochester,158
278,Dorado,Barwick,49
279,Paseo Del Mar,Pinehill,524
280,Paseo Los Corales Ii,Prairie Home,740
281,Sect La Aldea,Scotland,813
282,URB Gables Breeze,Centralhatchee,653
283,URB Miraflores,North Richmond,300
284,URB Sabanera Dorado,Camp Pendleton,755
285,Villa Santa Ii,Sherman,5
286,Hacienda Mi Querido Viejo,Lansing,815
287,Parc Mameyal,Melville,509
288,Paseo Del Sol,Lyman,825
289,Paseo Las Palmas,Eden,909
290,Paseo Los Corales,Tyler,505
291,URB Costa De Oro,Malden,830
292,URB Monte Mayor,URB Las Alondras,568
293,URB Montelindo,Cranford,193
294,URB Los Prados Sur,Sugar Camp,718
295,URB Martorell,Sinsheim,821
296,URB Monte Elena,Durhamville,640
297,URB Paisajes De Dorado,Washgtns Brhp,855
298,Comunidad Arenales Ii,Mount Moriah,988
299,URB Golden Hls,Lloyd,956
300,URB The Estates,Harwich,490
301,Bosque Dorado,N Belle Vernon,701
302,Brighton Country Club,Truesdale,862
303,Comunidad Arenales,Fiddletown,859
304,URB Dorado Del Mar,Wal-Mart Inc,396
305,URB Los Montes,Saltese,314
306,URB Monte Bello,Glocester,322
307,URB Monte Verde,Hudson,423
308,URB Santa Barbara,Hudsonville,277
309,URB Baco,Central Lake,883
310,Ensenada,Union Grove,317
311,Florida,Woodland Hills,485
312,Repto Seoane,Heidlersburg,263
313,Alt De Florida,Black Forest,917
314,Est De Arroyo,Blomkest,523
315,URB Las Flores,Roseland,276
316,URB Vegas De Florida,Gorst,630
317,URB Altos De Florida,Utuado,240
318,Hacienda De Garrochales,Azalea,534
319,URB Los Jardines,Miami University,550
320,Garrochales,Sod,643
321,Guanica,Kenney,843
322,Bo La Luna,Barnes Corners,165
323,URB Bahia,Faust,848
324,URB Sagrado Corazon,Prt Wentworth,518
325,Vista Mar,West Hanover,430
326,URB Santa Clara,Yellow Spgs,468
327,Bda Esperanza,General Elec Co,110
328,Guayanilla,Winnsboro,908
329,URB La Concepcion,Vienna,557
330,URB Santa Elena,Anchorage,340
331,Bda Guaydia,Lynnville,482
332,URB Stella,Talmage,23
333,Ext Santa Elena 2,Sylva,221
334,Villa Del Rio,Lords Valley,664
335,Ext Santa Elena 3,Bixby,972
336,URB Monte Claro,Cigna Corporation,16
337,URB Santa Maria,Laguna Hills,16
338,URB Santa Elena 2,Tillamook,851
339,Bo Los Sitios,Holgate,147
340,URB San Augusto,Lebanon,146
341,Parc Santa Rosa,Willow,94
342,Colinas De Hatillo,Alexandria,908
343,Ext Villa Del Carmen,Geisinger Med,530
344,Sect Aviles,Port Washington,236
345,URB Costa Norte,Echo Bay,271
346,URB Mar Azul,Waltonville,163
347,Bda Clan,Honcut,306
348,Est De La Ceiba,Schaghticoke,862
349,Alt De Hatillo,Otterville,308
350,Brisas De Hatillo,Joy,244
351,Est De Carrizales,Rockwood,964
352,Ext San Ramon,West Potsdam,459
353,URB Las Palmas,Dryden,403
354,Villa Del Carmen,Addison,214
355,Hatillo,Green Mountain,294
356,URB Corales De Hatillo,Loiza,165
357,URB Hatillo Del Mar,Nordmont,916
358,Valle Verde,Alts Del Mar,435
359,Hacienda La Monserrate,University Of Puget Sound,615
360,URB Verdun Ii,URB Bahia,159
361,Parc San Romualdo,Lantry,504
362,Hormigueros,Trenton,797
363,Est Del Rio,Grantsburg,770
364,Haciendas Constancia,Blue Cross Group Hosp,859
365,URB Montebello,Anderson Dam,543
366,URB Verdun,Ponto Lake,110
367,Villa Zoraida,Clinton,417
368,Colinas Del Oeste,Tallmansville,651
369,Valle Hermoso,Franklin,587
370,Bo Lavadero,Mcdade,790
371,Isabela,Larksville,369
372,Brisas Del Canal,Pleasantville,683
373,Comunidad Mantilla,Indiantown,587
374,Parc Cotto,Horseshoe Bend,442
375,Qtas Del Atlantico,Prescott Valley,66
376,Sect Las Uvas,Altona,700
377,Sect Rotarios,Melbourne Beach,252
378,URB Medina,Sweden Valley,594
379,URB Sol Y Mar,Northgate,671
380,Alt Del Mar,Alma,654
381,Comunidad Capiro,Marquette,97
382,Comunidad Los Pinos,Upper Bern,227
383,Comunidad Sonuco,Eagleville,86
384,Est Velazquez,Williamson,859
385,Repto Duran,Santa Rita,787
386,Repto San Antonio,Alpine,850
387,Repto Vega Badillo,Middlesex,650
388,Repto Yomaira,Stevenson,431
389,Sect Cachichuelas,S Bethlehem,666
390,Sect La Pra,Mclean,805
391,Sect Villa Luna,Bullard,235
392,URB Figueroa,De Leon Spgs,178
393,Villa Pesquera,Montecito,283
394,Comunidad El Ramal,Wauneta,44
395,Sect La Media Cuerda,Commercial National Bank,949
396,Sect Las Marias,Deepwater,234
397,Sect Pueblo Nuevo,Finchville,536
398,Sect Verdum,Zipperlenville,123
399,URB Domenech,Polson,657
400,Haciendas De Isabela,Durand,898
401,Jard Miramar,Stoneham,552
402,Parc Mora Guerrero,Prosperity,248
403,Repto Apolonio Velez Ramos,Dalton City,530
404,Repto Las Brisas,Bishop Hills,126
405,Sect Casimiro Perez,Berea College,182
406,Sect Tocones,Bridger,526
407,URB Lamela,Las Cruces,195
408,URB Salvador Rios,Anoka,716
409,URB Santa Teresita,Cherry Hill Township,965
410,Villa Karen,Lwrnce,469
411,Villa Lydia,Stewartsville,874
412,Bda La Mayor,Youngwood,343
413,Comunidad El Canon,Port Hueneme,257
414,Est Del Paraiso,Osmond,923
415,Repto Jerusalen,Evansville,385
416,URB Santa Rosa,Cuyahoga Fls,73
417,Vista Verde,Loyal,921
418,Comunidad Guanabano,Millville,415
419,Comunidad Los Ponce,Uc Santa Barbara,156
420,Repto Capella,Shallmar,336
421,Repto Santa Maria,Randolph Ctr,696
422,Sect Las Colinas,Old Rvr-Wnfre,218
423,Sect Los Toledo,Sutherlin,723
424,URB Hau,Bruce Twp,621
425,URB Las Ceibas,Kewaskum,659
426,Villa Acevedo,Gate City,664
427,Comunidad Ramal,Rosedale,42
428,Mans Del Atlantico,Atlanta Postal Credit Union,505
429,Pradera Real,Fredonia,550
430,Repto Monte Claro,Bard,34
431,Repto Villa Y Mar,Olney Springs,241
432,Res Lomas Del Sol,Cambridge,352
433,Sect San Antonio De La Tuna,Monument Vly,458
434,URB Llanos De Isabela,Garretson,606
435,URB Manuel Corchado,Bradford,702
436,Villa Gamal,Altus,352
437,Villa Mizei,Heights,163
438,Ext Villa Espana,West Milford Lakes,897
439,Repto Miraflores,Michiana Shores,494
440,Sect California,Crestview,709
441,URB Costa Brava,URB Cielo Dorado,291
442,URB Islazul,Davisville,204
443,URB Las 3t,Voganville,460
444,URB Las Flores,Damascus,149
445,Vistas Del Atlantico,Bakersville,640
446,Alts De Borinquen,Topeka,889
447,URB Hayuya,Ibex,124
448,URB La Monserrate,Goodells,272
449,URB Vega Linda,Broadacre,846
450,URB La Colina,Garland,191
451,Jard De Jayuya,Highland,358
452,Alts De Jayuya,Crawfordsvlle,625
453,Jayuya,Keavy,868
454,Valle Verde,Geneseo,822
455,Est Del Parra,Charlotte Amalie,709
456,Lajas,Springdale,159
457,Jard De Lajas,Summit Hill,750
458,URB El Valle,Monticello,945
459,URB Linda Vista,Palm Village,375
460,Bda Tomei,Barkersville,332
461,Bda Nicolin Perez,Blue Cross Of So Calif,921
462,Est De Lajas,Bloomfield,848
463,Ext El Valle 2,Holderness,676
464,Parq Real,Wright,809
465,Alts De San Blas,Calverton,910
466,Haciendas De Borinquen Ii,Edwardsville,244
467,URB Buena Vista,Pembina,993
468,Lares,Boydtown,154
469,Jard De Las Marias,Tahchee,47
470,URB El Coqui,Livingston,26
471,URB El Bosque,Silver Spring,132
472,URB Lavergne,Westport,770
473,Las Marias,Tomball,930
474,Manati,Natalbany,74
475,Repto Marista,Army Criminal Invest,676
476,URB Oneill,Valle Crucis,612
477,URB San Salvador,Rochdale,644
478,Villa Beatriz,Levi,62
479,Colina Del Mar,Lebanon,380
480,Est De Valle Verde,Buck Valley,119
481,Repto Garcia,Gillette,912
482,URB Camino Del Sol Ii,North Tonawanda,495
483,Villa Forestal,Alamance,188
484,Villa Maria,Magnolia,136
485,Jard De Monaco 3,Lostine,50
486,Lomas Del Manatuabon,Lebanon Spg,394
487,URB Monte Verde,Wilkinson,651
488,Valle De Tierras Nuevas,Bode,651
489,Villas Del Manati,Falcon,430
490,Bo Cantera,Loxahatchee Groves,57
491,Ext Oneill,Utica Junior College,684
492,Hacienda Hermanas Mena,Joanna,884
493,Jard De Monaco 2,Nora,60
494,Repto Geovani,Lake Sinai,93
495,URB Las Gardenias,Emsworth,149
496,URB Manati Chalets,Canoe,663
497,Villa Nitza,Franklin,188
498,Villas Tesoro,Davidson,203
499,Bda San Jose,Kempton,136
500,Hacienda La Monserrate,Davistown,908
501,URB Flamboyan,Dayton,744
502,URB Portofino,Boxford,267
503,URB Santa Teresa,Lake Carmel,217
504,Brisas De Mar Chiquita,South Chesterfield,560
505,Est De Manati,Leyden,677
506,Est Marylin,Ryno,141
507,Jard De Monaco 1,Balm,710
508,Parc Marquez,Deiblers,117
509,URB Atenas,Mount Air,802
510,Valles De Manati,Kelso,801
511,Alts De Manati,Sabot,202
512,Valle Encantado,Huntington Park,131
513,Villa Evangelina,Mount Carbon,310
514,Ext San Salvador,Salisbury Beach,288
515,Parc La Luisa,Catlin,212
516,Repto Rosello,Riddleton,845
517,URB Los Rosales,Trindle Sprg,535
518,URB Luchetti,Cridersville,321
519,Villa Mercedes,Anacortes,916
520,Parc Lomas Verdes,Newtown,708
521,Moca,Coldspring,705
522,Villa Soto,Virgil,227
523,Parc Sabana,Meeker,249
524,Res Edad Dorada,URB Sabanera,601
525,Hacienda La Monserrate,Valle De San Luis,406
526,URB Las Palmas,Sullivan,872
527,URB Los Robles,Orkney Sprngs,808
528,URB Moca Gdns,Preston Park,839
529,Villa Deloamit,Casselberry,672
530,URB Sea Beach Colony,Tazewell,68
531,Comunidad Estella,Buckland,330
532,Jard De Rincon,Dana,566
533,Rincon,Red Chute,946
534,Comunidad Stella,Pleasant Valley,854
535,Villas De La Pradera,URB Las Monjitas,874
536,Vista Azul,Streeter,825
537,URB Palma Real,Florida Power & Light Co,693
538,Ext Jard De Rincon,Verona,466
539,URB Cerro Los Pobres,Dellwood,700
540,URB Las Lomas,Palma Sola,679
541,Parc Chivas,Jerome,152
542,Repto Kennedy,Utica,261
543,URB Avila,South Kenner,662
544,Bo Cacao,Mechanicsvlle,995
545,URB Dos Ceibas,Goshen,876
546,Quebradillas,Stuart,218
547,URB La Romana,Abbeville,607
548,Brisas Tropical,Ridgeville,254
549,Parc Terranova,Crawfordsville,244
550,Villa Norma,Jay,137
551,Parq Del Retiro,Ohio Grove,450
552,URB Santa Marina,Straw Plains,111
553,URB El Retiro,Oakley,252
554,Mayaguez,Bear Gap,239
555,Bo Mineral,Valley Head,791
556,Bo Salud,Bloomingburg,174
557,Villa Sultanita,Fieldsboro,894
558,Bo Carcel,Tatamy Boro,649
559,Bo Rio Hondo,No Chas,326
560,Repto Brisas De Rio Hondo,German Valley,103
561,Repto San Miguel,Lake Emily,425
562,URB Ensanche Vivaldi,Sheshebee,137
563,URB Monterey,Leckie,237
564,Villa India,Clearwater,116
565,Bo Colombia,Lena,70
566,URB Paraiso De Mayaguez,Sackets Harbor,39
567,URB Sultana,Walnut Grove,278
568,Villas Del Sol,Madera,793
569,Bo Buena Vista,Cat Creek,841
570,Bo La Quinta,Glen Gardner,528
571,Ext Belmonte,Wexford,710
572,Repto Flamboyan,Watauga,226
573,URB Belmonte,Livingston,678
574,Bo Paris,Johnsville,52
575,URB Alemany,West Berne,235
576,URB Ponce De Leon,Piney Fork,867
577,URB Rio Cristal,Peterborough,644
578,Villas De Felisa,Clear Lake,264
579,Bo Barcelona,North Rupert,482
580,Bo Cantera,North Monmouth,342
581,Repto Antillano,Copperhill,695
582,URB Ensanche Ramirez,Julian,971
583,Villas Del Rio,Bliss,81
584,Bo Sabalos,Jonesville,375
585,URB Flor Del Valle,Satartia,777
586,URB La Estancia,Ingram,914
587,Villa Angelica,Norwichtown,610
588,Villa Gerena,Kosae,163
589,Bo Balboa,Egremont,712
590,Bo Broadway,URB El Paraiso,487
591,Bo Liceo,Inkster,51
592,Bo Santurce,Tabor,725
593,Lomas Verdes,Benton,243
594,Repto Macias,San Bernardino,828
595,URB Pura Brisa,Fort Benton,588
596,URB Santa Maria,Dept Justice,789
597,Parc Soledad,General Electric Co,365
598,URB Fraternidad,Grand Gorge,912
599,URB La Riviera,Elbert,534
600,URB Petiteville,University Park,95
601,Jard De Guanajibo,Latimer,601
602,Jard Del Caribe,Edson,690
603,Repto San Francisco,Toledo,882
604,URB Guanajibo Gdns,Spurger,269
605,URB Mayaguez Terrace,Owenton,539
606,URB Miradero Gdns,Hager City,23
607,URB Hostos,Bible Grove,586
608,URB Llavat,Point,337
609,URB Mendoza,Cedar Bluff,55
610,URB San Jose,Whitney,594
611,Parc Mani,Elsmere,575
612,URB Ramirez De Arellano,North Rim,508
613,Bo Dulces Labios,Minot,711
614,Bo Mani,Indian Stream Twp,176
615,Parq De La Ceiba,Whitmore Lake,510
616,URB Guanajibo Homes,Story,926
617,Vista Verde,Mcfarland,620
618,Alt De Algarrobo,Parkers Prairie,202
619,Mans De Espana,Monona Grove,490
620,URB Bella Lomas,Mindoro,996
621,URB Buenaventura,Mead,78
622,URB Los Versalles,Riverton,956
623,URB Miradero Hls,Wolseth,480
624,URB Santa Rosa De Lima,Lomax,654
625,URB Westernlake Vlg,Timber Lake,162
626,Villas Del Oeste,Farrar,587
627,Parc Castillo,Truesdale,321
628,Repto Los Chevres,Sparta,905
629,URB Quinto Centenario,Bon Wier,685
630,Alt De Mayaguez,Buena Vista,756
631,Bo El Seco,Grant Vlkria,893
632,Bo Tras Talleres,Clayton,601
633,Repto Universidad,West Point,685
634,Mans De San German,Thealka,475
635,URB Borinquen,Ware Shoals,528
636,URB El Real,Plevna,312
637,URB La Nueva Salamanca,Crawford,80
638,San German,Timewell,209
639,Ext Santa Maria,Brambleton,58
640,Ext Villa Interamericana,Duncan,762
641,Paseos Del Valle,Mile Hill,756
642,Ext Mans San German,Faulkner,721
643,Ext Parc Sabana Eneas,Hartland,630
644,Parc Sabana Eneas,Helen,923
645,URB El Convento,Penwell,499
646,URB Los Sauces,San Diego State University,565
647,Hacienda La Monserrate,Afton,362
648,Mans Reales,Livingston,995
649,URB Montebello,Old Camp,679
650,URB Retiro,West Ashville,318
651,URB El Pedregal,Fbi,24
652,URB Porta Coeli,Pine,168
653,URB Riverside,Schertz,901
654,URB Santa Maria,Colvin,855
655,Villa Interamericana,Errata,664
656,URB La Quinta Dr Velez,Penn Yan,998
657,URB Las Quintas,Pta De Tierra,20
658,Valle Verde,Montauk,265
659,Villa Auxerre,Janesville,905
660,Bda Estalingrado,Mckinney,567
661,Bda Pueblo Nuevo,Orange Village,670
662,Comunidad Gonzalez,Dover,693
663,Repto Pin Mendez,Enosburg Falls,843
664,URB El Culebrina,Arena,139
665,URB Pepino,Oroville,948
666,Villas De Piedra Blanca,Reeseville,939
667,Bda Chinto Rodon,Tx Workforce Commission,193
668,URB Chinto Rodon,Nelma,611
669,Bda Tablastilla,Bham,402
670,URB Pedro T Labayen,Bramanville,774
671,URB Venturini,Oakland,201
672,Valle Verde,Hardwood,585
673,Ext Villa Rita,Mine Run,698
674,URB El Guayabal,Allemand,775
675,San Sebastian,Blaine,213
676,Colinas Verdes,Waimanalo,247
677,Jard Guatemala,Claycomo,377
678,URB La Estancia,Dunlap,171
679,URB Los Alamos,Gilby,125
680,Bda Paralelo 38,Boons Camp,872
681,URB Olivencia,N Scranton,424
682,Villa Rita,Messiah College,155
683,Morovis,Knob Lick,779
684,Brisas Del Norte,Utopia,129
685,Sect La Alianza,Coon Rapids,297
686,Parc Barahona,Sherwood,790
687,Sect Pabon,Aberdeen,727
688,Valle Barahona,Butler,398
689,Sect Marrero,Texas Creek,880
690,Villa Roca,Due West,255
691,Ext Torrecillas,Clairemore,804
692,Jard De Russe,Tisbury,324
693,Repto Los Torres,Keezletown,365
694,Villas Del Norte,Us Citizenship & Immigration,70
695,Comunidad Juan Otero,Seabrook Isl,140
696,Jard De Romany,Roslyn Harbor,999
697,Qtas De Morovis,Hygiene,365
698,URB Russe,Merritt,664
699,Valles De San Luis,E Glacier Pk,979
700,Praderas De Morovis Sur,Pryse,626
701,Vista Verde,State Park,329
702,Sect Berio,Dyersville,642
703,URB Las Cumbres,Jacksonville,338
704,Brisas Del Rio,Mccall,859
705,Jard De Montellano,Arnold,655
706,Parc Torrecillas,New Buffalo,267
707,URB Cruz Rosario,Mount Morris,958
708,URB Rose Valley,Holman,257
709,Sabana Hoyos,Jefferson Twp,325
710,Est De Sabana,Sandy Hook,234
711,Brisas De Campo Alegre,S Woodstock,881
712,Parq Ind San Antonio,Moratock,794
713,Paseos Reales,Sleepy Hollow Manor,491
714,San Antonio,Heselton,166
715,URB San Antonio,Paradox Lake,688
716,Hacienda Asturias,Creston,787
717,URB Nuevo San Antonio,Meggett,80
718,Vega Alta,Ethel,68
719,URB Cielo Dorado,Donovan,922
720,URB Golden Vlg,Strongstown,991
721,URB Las Colinas,Hollywood,50
